Set 7, h = 41, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 42, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 43, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 44, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 45, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 46, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 47, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 48, f1Test = 0,922081, f1Train = 1,000000
Set 7, h = 49, f1Test = 0,922081, f1Train = 1,000000
Optimal height: 3, f1Test = 0,995370, f1Train = 0,963358
Using random forest: f1Test = 0,568602, f1Train = 1,000000

Set 8, h = 0, f1Test = 0,985232, f1Train = 0,971123
Set 8, h = 1, f1Test = 0,985232, f1Train = 0,971123
Set 8, h = 2, f1Test = 0,997923, f1Train = 0,984398
Set 8, h = 3, f1Test = 0,995851, f1Train = 0,987330
Set 8, h = 4, f1Test = 0,995851, f1Train = 0,988910
Set 8, h = 5, f1Test = 0,995851, f1Train = 0,990567
Set 8, h = 6, f1Test = 0,995851, f1Train = 0,990567
Set 8, h = 7, f1Test = 0,995851, f1Train = 0,992300
Set 8, h = 8, f1Test = 0,983510, f1Train = 0,994109
Set 8, h = 9, f1Test = 0,981469, f1Train = 0,995996
Set 8, h = 10, f1Test = 0,979433, f1Train = 0,997959
Set 8, h = 11, f1Test = 0,979433, f1Train = 1,000000
Optimal height: 2, f1Test = 0,997923, f1Train = 0,984398
Using random forest: f1Test = 0,985232, f1Train = 1,000000

Set 9, h = 0, f1Test = 0,440367, f1Train = 0,428351
Set 9, h = 1, f1Test = 0,556153, f1Train = 0,520536
Set 9, h = 2, f1Test = 0,712747, f1Train = 0,661901
Set 9, h = 3, f1Test = 0,745360, f1Train = 0,690355
Set 9, h = 4, f1Test = 0,842263, f1Train = 0,840884
Set 9, h = 5, f1Test = 0,822123, f1Train = 0,876450
Set 9, h = 6, f1Test = 0,803751, f1Train = 0,929566
Set 9, h = 7, f1Test = 0,786850, f1Train = 0,967828
Set 9, h = 8, f1Test = 0,786271, f1Train = 0,985379
Set 9, h = 9, f1Test = 0,781000, f1Train = 0,994236
Set 9, h = 10, f1Test = 0,778750, f1Train = 0,998137
Set 9, h = 11, f1Test = 0,776267, f1Train = 0,998053
Set 9, h = 12, f1Test = 0,778750, f1Train = 1,000000
Optimal height: 4, f1Test = 0,842263, f1Train = 0,840884
Using random forest: f1Test = 0,500779, f1Train = 1,000000

Set 10, h = 0, f1Test = 0,349934, f1Train = 0,345539
Set 10, h = 1, f1Test = 0,560672, f1Train = 0,551167
Set 10, h = 2, f1Test = 0,844405, f1Train = 0,810192
Set 10, h = 3, f1Test = 0,926596, f1Train = 0,894204
Set 10, h = 4, f1Test = 0,993219, f1Train = 0,958964
Set 10, h = 5, f1Test = 0,990097, f1Train = 0,960215
Set 10, h = 6, f1Test = 0,987061, f1Train = 0,959611
Set 10, h = 7, f1Test = 0,981615, f1Train = 0,964190
Set 10, h = 8, f1Test = 0,972809, f1Train = 0,967406
Set 10, h = 9, f1Test = 0,965598, f1Train = 0,971794
Set 10, h = 10, f1Test = 0,954885, f1Train = 0,976593
Set 10, h = 11, f1Test = 0,949264, f1Train = 0,982072
Set 10, h = 12, f1Test = 0,941782, f1Train = 0,986368
Set 10, h = 13, f1Test = 0,938186, f1Train = 0,990360
Set 10, h = 14, f1Test = 0,934553, f1Train = 0,992699
Set 10, h = 15, f1Test = 0,928823, f1Train = 0,994848
Set 10, h = 16, f1Test = 0,922759, f1Train = 0,997035
Set 10, h = 17, f1Test = 0,922759, f1Train = 0,997679
Set 10, h = 18, f1Test = 0,922152, f1Train = 0,998833
Set 10, h = 19, f1Test = 0,921546, f1Train = 0,999221
Set 10, h = 20, f1Test = 0,921546, f1Train = 0,999221
Set 10, h = 21, f1Test = 0,921546, f1Train = 0,999623
Set 10, h = 22, f1Test = 0,921546, f1Train = 1,000000
Optimal height: 4, f1Test = 0,993219, f1Train = 0,958964
Using random forest: f1Test = 0,909379, f1Train = 1,000000

Set 11, h = 0, f1Test = 0,878104, f1Train = 0,842301
Set 11, h = 1, f1Test = 0,999197, f1Train = 0,974134
Set 11, h = 2, f1Test = 0,997989, f1Train = 0,974199
Set 11, h = 3, f1Test = 0,996179, f1Train = 0,974246
Set 11, h = 4, f1Test = 0,996179, f1Train = 0,974660
Set 11, h = 5, f1Test = 0,991964, f1Train = 0,974780
Set 11, h = 6, f1Test = 0,988357, f1Train = 0,974948
Set 11, h = 7, f1Test = 0,985366, f1Train = 0,975166
Set 11, h = 8, f1Test = 0,980378, f1Train = 0,975951
Set 11, h = 9, f1Test = 0,979379, f1Train = 0,976611
Set 11, h = 10, f1Test = 0,976376, f1Train = 0,977269
Set 11, h = 11, f1Test = 0,974602, f1Train = 0,978730
Set 11, h = 12, f1Test = 0,969233, f1Train = 0,979903
Set 11, h = 13, f1Test = 0,965665, f1Train = 0,980982
Set 11, h = 14, f1Test = 0,961047, f1Train = 0,982020
Set 11, h = 15, f1Test = 0,956870, f1Train = 0,983225
Set 11, h = 16, f1Test = 0,955669, f1Train = 0,984160
Set 11, h = 17, f1Test = 0,954469, f1Train = 0,984474
Set 11, h = 18, f1Test = 0,951665, f1Train = 0,985289
Set 11, h = 19, f1Test = 0,945679, f1Train = 0,985987
Set 11, h = 20, f1Test = 0,942691, f1Train = 0,987071
Set 11, h = 21, f1Test = 0,939110, f1Train = 0,988270
Set 11, h = 22, f1Test = 0,932750, f1Train = 0,989691
Set 11, h = 23, f1Test = 0,925031, f1Train = 0,992044
Set 11, h = 24, f1Test = 0,915179, f1Train = 0,993972
Set 11, h = 25, f1Test = 0,912819, f1Train = 0,995012
Set 11, h = 26, f1Test = 0,908696, f1Train = 0,996927
Set 11, h = 27, f1Test = 0,906543, f1Train = 0,998506
Set 11, h = 28, f1Test = 0,904779, f1Train = 0,999268
Set 11, h = 29, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 30, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 31, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 32, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 33, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 34, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 35, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 36, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 37, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 38, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 39, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 40, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 41, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 42, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 43, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 44, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 45, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 46, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 47, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 48, f1Test = 0,904779, f1Train = 1,000000
Set 11, h = 49, f1Test = 0,904779, f1Train = 1,000000
Optimal height: 1, f1Test = 0,999197, f1Train = 0,974134
Using random forest: f1Test = 0,878300, f1Train = 1,000000

Set 12, h = 0, f1Test = 0,482538, f1Train = 0,482215
Set 12, h = 1, f1Test = 0,574880, f1Train = 0,577884
Set 12, h = 2, f1Test = 0,673937, f1Train = 0,665859
Set 12, h = 3, f1Test = 0,708938, f1Train = 0,703958
Set 12, h = 4, f1Test = 0,759285, f1Train = 0,767980
Set 12, h = 5, f1Test = 0,798333, f1Train = 0,800020
Set 12, h = 6, f1Test = 0,855504, f1Train = 0,861730
Set 12, h = 7, f1Test = 0,866313, f1Train = 0,891832
Set 12, h = 8, f1Test = 0,859453, f1Train = 0,923166
Set 12, h = 9, f1Test = 0,860523, f1Train = 0,944620
Set 12, h = 10, f1Test = 0,857043, f1Train = 0,962672
Set 12, h = 11, f1Test = 0,850971, f1Train = 0,974172
Set 12, h = 12, f1Test = 0,854098, f1Train = 0,983244
Set 12, h = 13, f1Test = 0,849488, f1Train = 0,989675
Set 12, h = 14, f1Test = 0,846878, f1Train = 0,992446
Set 12, h = 15, f1Test = 0,845241, f1Train = 0,994964
Set 12, h = 16, f1Test = 0,844680, f1Train = 0,996642
Set 12, h = 17, f1Test = 0,844124, f1Train = 0,997757
Set 12, h = 18, f1Test = 0,843853, f1Train = 0,998878
Set 12, h = 19, f1Test = 0,843007, f1Train = 0,999158
Set 12, h = 20, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 21, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 22, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 23, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 24, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 25, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 26, f1Test = 0,842133, f1Train = 1,000000
Set 12, h = 27, f1Test = 0,842133, f1Train = 1,000000
